order_detail_id,order_id,product_id,quantity,unit_price,discount_pct,sales_amount,unit_cost,cost_amount,profit_amount
OD0000001,O000001,P0151,2,2897544.29,0.0833,5312640.6,1913845.16,3827690.32,1484950.28
OD0000002,O000001,P0282,2,815106.69,0.0614,1530059.71,588495.41,1176990.82,353068.89
OD0000003,O000001,P0036,1,9168211.02,0.1451,7838049.77,7455480.0,7455480.0,382569.77
OD0000004,O000002,P0207,3,1763236.44,0.1321,4591158.93,1014198.14,3042594.42,1548564.51
OD0000005,O000003,P0261,2,41692.78,0.0815,76590.74,27407.22,54814.44,21776.3
OD0000006,O000004,P0015,2,639520.44,0.0158,1258834.67,554928.95,1109857.9,148976.77
OD0000007,O000005,P0199,1,807548.92,0.0773,745110.75,622192.17,622192.17,122918.58
OD0000008,O000006,P0181,8,527312.3,0.1857,3435310.1,380284.93,3042279.44,393030.66
OD0000009,O000006,P0166,3,978957.39,0.257,2182226.71,667826.64,2003479.92,178746.79
OD0000010,O000006,P0117,6,13143153.7,0.2178,61682707.89,9843143.02,59058858.12,2623849.77
OD0000011,O000007,P0082,2,554859.34,0.0119,1096493.84,444465.13,888930.26,207563.58
OD0000012,O000008,P0199,1,833954.79,0.0276,810933.13,622192.17,622192.17,188740.96
OD0000013,O000008,P0004,2,806526.51,0.0725,1496175.42,686327.13,1372654.26,123521.16
OD0000014,O000008,P0247,1,590664.69,0.0725,547852.58,406466.01,406466.01,141386.57
OD0000015,O000009,P0064,1,1726811.64,0.0302,1674578.0,1438121.57,1438121.57,236456.43
OD0000016,O000009,P0023,2,885343.86,0.0451,1690879.54,761116.39,1522232.78,168646.76
OD0000017,O000010,P0099,1,1397019.74,0.0481,1329867.13,1068586.18,1068586.18,261280.95
OD0000018,O000011,P0056,1,596340.08,0.0148,587497.23,547785.57,547785.57,39711.66
OD0000019,O000012,P0192,2,34396.71,0.1131,61011.29,21401.98,42803.96,18207.33
OD0000020,O000012,P0239,1,2628135.44,0.0748,2431574.74,1900041.88,1900041.88,531532.86
