order_id,order_date,customer_id,store_id,payment_method,order_status
O000001,2025-02-06,C00729,S031,Bank Transfer,Completed
O000002,2024-11-06,C01602,S031,Credit Card,Completed
O000003,2024-05-13,C04668,S026,E-Wallet,Completed
O000004,2024-03-30,C04646,S015,Debit Card,Completed
O000005,2025-04-20,C00325,S031,Credit Card,Completed
O000006,2025-11-07,C02943,S031,E-Wallet,Completed
O000007,2025-03-17,C02144,S015,Cash,Completed
O000008,2025-06-14,C00030,S031,Credit Card,Completed
O000009,2024-07-21,C00962,S017,E-Wallet,Completed
O000010,2025-04-28,C03562,S031,Bank Transfer,Completed
O000011,2024-11-16,C02097,S031,E-Wallet,Completed
O000012,2025-04-19,C03538,S031,Bank Transfer,Completed
O000013,2024-09-05,C00157,S031,E-Wallet,Completed
O000014,2024-07-06,C01316,S031,Credit Card,Completed
O000015,2025-07-31,C04863,S031,Credit Card,Completed
O000016,2024-03-17,C00659,S005,Credit Card,Completed
O000017,2025-04-22,C01927,S019,E-Wallet,Completed
O000018,2024-04-08,C00793,S029,Debit Card,Completed
O000019,2024-04-08,C00329,S031,Credit Card,Completed
O000020,2025-10-24,C04221,S031,E-Wallet,Completed
O000021,2025-11-14,C04981,S029,Debit Card,Completed
O000022,2025-02-17,C01910,S016,Debit Card,Completed
O000023,2025-04-22,C00416,S026,Debit Card,Completed
O000024,2025-06-28,C03621,S031,Bank Transfer,Completed
O000025,2025-02-23,C04694,S031,E-Wallet,Completed
O000026,2025-11-06,C02092,S006,Bank Transfer,Completed
O000027,2025-06-05,C02097,S031,E-Wallet,Completed
O000028,2024-09-04,C02145,S031,E-Wallet,Completed
O000029,2025-04-08,C04646,S027,Debit Card,Completed
O000030,2025-07-10,C02842,S031,Bank Transfer,Completed
O000031,2024-09-05,C01171,S026,Debit Card,Completed
O000032,2024-10-25,C04231,S026,Credit Card,Completed
O000033,2024-12-19,C02606,S008,Bank Transfer,Completed
O000034,2025-02-08,C02766,S002,Cash,Completed
O000035,2024-02-23,C02400,S009,Credit Card,Completed
O000036,2025-08-14,C02390,S015,Debit Card,Completed
O000037,2025-01-02,C04937,S031,Debit Card,Completed
O000038,2024-10-13,C04826,S003,Credit Card,Completed
O000039,2024-09-03,C04830,S031,Credit Card,Completed
O000040,2024-02-26,C00555,S031,Credit Card,Completed
O000041,2025-06-17,C02694,S030,E-Wallet,Completed
O000042,2025-11-02,C00818,S031,Credit Card,Completed
O000043,2025-11-19,C03692,S020,Credit Card,Completed
O000044,2024-09-30,C03417,S008,Debit Card,Completed
O000045,2024-03-17,C01129,S031,Credit Card,Returned
O000046,2024-05-16,C02388,S031,E-Wallet,Completed
O000047,2024-04-13,C04492,S031,E-Wallet,Completed
O000048,2024-10-05,C04598,S006,E-Wallet,Completed
O000049,2024-09-17,C00171,S031,Debit Card,Completed
O000050,2025-10-02,C02627,S031,Bank Transfer,Completed
O000051,2024-04-01,C03670,S031,E-Wallet,Completed
O000052,2025-07-04,C01193,S031,E-Wallet,Completed
O000053,2025-03-25,C00692,S031,E-Wallet,Completed
O000054,2024-12-15,C01712,S031,E-Wallet,Completed
O000055,2024-05-30,C03944,S005,Debit Card,Completed
O000056,2024-11-02,C03045,S031,Bank Transfer,Completed
O000057,2024-08-08,C04988,S022,Debit Card,Completed
O000058,2024-07-16,C01416,S006,E-Wallet,Completed
O000059,2025-02-17,C04087,S009,Credit Card,Completed
O000060,2025-12-06,C03773,S031,E-Wallet,Completed
O000061,2025-07-05,C01982,S012,Bank Transfer,Completed
O000062,2025-10-04,C03547,S031,E-Wallet,Completed
O000063,2025-04-08,C04147,S031,E-Wallet,Completed
