product_id,product_name,category,subcategory,brand,unit_cost,list_price
P0001,Orion Monitor 001,Electronics,Audio,Orion,14116262.75,16144831.22
P0002,VivoMax Audio 002,Electronics,Laptop,VivoMax,912026.12,1075563.45
P0003,VivoMax Smartphone 003,Electronics,Accessories,NusaTech,2717012.25,3047568.19
P0004,NusaTech Audio 004,Electronics,Monitor,Orion,686327.13,805415.97
P0005,VivoMax Accessories 005,Electronics,Smartphone,Astra,1967776.83,2254590.31
P0006,BytePro Monitor 006,Electronics,Laptop,Orion,8118987.55,10121416.08
P0007,Astra Audio 007,Electronics,Accessories,VivoMax,9793527.78,11584849.26
P0008,Orion Laptop 008,Electronics,Smartphone,Astra,2030360.78,2341091.95
P0009,NusaTech Laptop 009,Electronics,Laptop,VivoMax,11391061.22,14165990.17
P0010,Astra Laptop 010,Electronics,Accessories,Astra,837339.32,988439.46
P0011,NusaTech Monitor 011,Electronics,Monitor,BytePro,8073668.5,9288491.16
P0012,NusaTech Laptop 012,Electronics,Monitor,BytePro,607117.74,693929.38
P0013,BytePro Smartphone 013,Electronics,Smartphone,NusaTech,586215.0,662177.44
P0014,BytePro Accessories 014,Electronics,Smartphone,VivoMax,1089176.16,1286268.18
P0015,Astra Accessories 015,Electronics,Smartphone,BytePro,554928.95,646138.92
P0016,BytePro Monitor 016,Electronics,Audio,Orion,812885.54,946037.06
P0017,Astra Smartphone 017,Electronics,Audio,VivoMax,540734.34,645538.62
P0018,NusaTech Laptop 018,Electronics,Laptop,Orion,3768223.33,4544880.16
P0019,Astra Accessories 019,Electronics,Accessories,VivoMax,1752706.76,1957860.39
P0020,VivoMax Accessories 020,Electronics,Accessories,NusaTech,742477.2,857704.77
P0021,Orion Laptop 021,Electronics,Accessories,VivoMax,15312156.76,18497543.82
P0022,Orion Smartphone 022,Electronics,Smartphone,VivoMax,5494045.91,6548915.43
P0023,NusaTech Accessories 023,Electronics,Laptop,Orion,761116.39,881452.93
P0024,BytePro Accessories 024,Electronics,Smartphone,NusaTech,931317.33,1150089.61
P0025,Orion Audio 025,Electronics,Audio,VivoMax,6520851.77,7290948.11
P0026,BytePro Audio 026,Electronics,Audio,BytePro,5213611.43,6207337.83
P0027,VivoMax Smartphone 027,Electronics,Monitor,Astra,3683158.64,4106824.11
P0028,Astra Smartphone 028,Electronics,Accessories,BytePro,699810.26,819879.98
P0029,NusaTech Monitor 029,Electronics,Laptop,Astra,3313680.43,3805630.29
P0030,VivoMax Monitor 030,Electronics,Smartphone,Orion,575129.53,646154.82
P0031,BytePro Monitor 031,Electronics,Monitor,BytePro,1142098.23,1412245.35
P0032,Orion Audio 032,Electronics,Smartphone,NusaTech,5492084.49,6511136.31
P0033,NusaTech Audio 033,Electronics,Laptop,Astra,2343153.05,2647826.86
P0034,VivoMax Accessories 034,Electronics,Laptop,Orion,4726764.33,5612501.18
P0035,Astra Smartphone 035,Electronics,Accessories,BytePro,923229.22,1153086.97
P0036,VivoMax Monitor 036,Electronics,Smartphone,BytePro,7455480.0,8931014.85
P0037,VivoMax Monitor 037,Electronics,Monitor,Astra,11706271.19,14015287.32
P0038,Astra Laptop 038,Electronics,Accessories,VivoMax,648961.45,770253.01
P0039,BytePro Monitor 039,Electronics,Accessories,NusaTech,1744454.31,2054203.56
P0040,Astra Laptop 040,Electronics,Monitor,VivoMax,709833.61,877907.72
P0041,BytePro Smartphone 041,Electronics,Accessories,Orion,536756.83,598171.68
P0042,Orion Laptop 042,Electronics,Monitor,NusaTech,1587204.98,1943758.35
P0043,NusaTech Smartphone 043,Electronics,Laptop,Orion,1700829.31,2039415.43
P0044,VivoMax Laptop 044,Electronics,Audio,Orion,9619558.06,10758513.38
P0045,VivoMax Monitor 045,Electronics,Smartphone,BytePro,420222.98,503322.35
P0046,BytePro Monitor 046,Electronics,Monitor,Orion,928136.74,1063289.62
P0047,Astra Laptop 047,Electronics,Laptop,VivoMax,2145450.53,2528911.71
P0048,VivoMax Smartphone 048,Electronics,Laptop,Orion,764468.52,924089.43
P0049,NusaTech Laptop 049,Electronics,Laptop,Orion,645945.24,743979.56
P0050,VivoMax Laptop 050,Electronics,Monitor,NusaTech,7821205.87,9167789.99
P0051,BytePro Laptop 051,Electronics,Audio,BytePro,450326.67,528431.73
P0052,NusaTech Laptop 052,Electronics,Smartphone,Orion,4759744.91,5442526.35
P0053,VivoMax Laptop 053,Electronics,Smartphone,Orion,470537.19,527544.19
P0054,BytePro Monitor 054,Electronics,Accessories,NusaTech,3140735.19,3623192.35
P0055,Astra Accessories 055,Electronics,Monitor,NusaTech,1064689.23,1204392.7
P0056,VivoMax Laptop 056,Electronics,Smartphone,Orion,547785.57,614320.71
P0057,Astra Monitor 057,Electronics,Accessories,Astra,7589022.19,8564392.83
P0058,Orion Monitor 058,Electronics,Audio,Astra,11809811.26,13743123.43
P0059,Orion Laptop 059,Electronics,Audio,Orion,3953597.22,4721326.09
P0060,Astra Audio 060,Electronics,Audio,Orion,3715047.81,4556655.03
P0061,NusaTech Smartphone 061,electronics,Accessories,NusaTech,3733959.57,4403162.38
P0062,BytePro Monitor 062,Electronics,Audio,VivoMax,2408776.67,2943496.76
P0063,NusaTech Accessories 063,Electronics,Monitor,Orion,3195721.75,3898614.02
P0064,BytePro Smartphone 064,Electronics,Monitor,BytePro,1438121.57,1694561.81
P0065,BytePro Laptop 065,Electronics,Monitor,NusaTech,1854699.47,2259287.66
P0066,NusaTech Laptop 066,Electronics,Monitor,VivoMax,1446544.62,1632816.65
P0067,Astra Audio 067,Electronics,Laptop,BytePro,6997432.24,8543845.09
P0068,Astra Laptop 068,Electronics,Smartphone,BytePro,3294536.89,3855530.23
P0069,NusaTech Smartphone 069,Electronics,Monitor,Orion,1024327.06,1198080.1
P0070,VivoMax Laptop 070,Electronics,Laptop,Astra,4240330.32,5003387.63
P0071,Ruma Storage 071,Home & Living,Furniture,Comforta,5621303.73,7344183.2
P0072,Comforta Home Decor 072,Home & Living,Storage,Comforta,163208.98,218296.26
P0073,HomePlus Furniture 073,Home & Living,Furniture,HomePlus,446121.84,669127.44
P0074,HomePlus Home Decor 074,Home & Living,Home Decor,LivingCo,5195140.15,7129859.37
P0075,Ruma Home Decor 075,Home & Living,Home Decor,Comforta,790158.9,1095842.1
P0076,HomePlus Furniture 076,Home & Living,Home Decor,Comforta,177627.84,226693.3
P0077,LivingCo Storage 077,Home & Living,Home Decor,Comforta,203600.42,293842.49
P0078,LivingCo Home Decor 078,Home & Living,Furniture,Ruma,580311.88,768331.93
P0079,LivingCo Storage 079,Home & Living,Home Decor,LivingCo,4263246.36,5708906.28
P0080,HomePlus Home Decor 080,Home & Living,Furniture,Comforta,711895.37,972499.24
P0081,LivingCo Furniture 081,Home & Living,Home Decor,LivingCo,1143260.05,1658956.42
P0082,HomePlus Home Decor 082,Home & Living,Storage,HomePlus,444465.13,558635.14
P0083,HomePlus Storage 083,Home & Living,Kitchen Appliance,HomePlus,90582.08,116003.76
P0084,Comforta Storage 084,Home & Living,Storage,Ruma,1488769.41,1926504.11
P0085,Comforta Furniture 085,Home & Living,Furniture,Ruma,2868577.45,3766049.49
